Team,GoalsConceded,Season
West Brom,76,2020-2021
Southampton,68,2020-2021
Crystal Palace,66,2020-2021
Sheffield United,63,2020-2021
Newcastle,62,2020-2021
Burnley,55,2020-2021
Leeds,54,2020-2021
Fulham,53,2020-2021
Wolves,52,2020-2021
Leicester,50,2020-2021
Norwich,84,2021-2022
Leeds,79,2021-2022
Watford,77,2021-2022
Southampton,67,2021-2022
Everton,66,2021-2022
Newcastle,62,2021-2022
Leicester,59,2021-2022
Man United,57,2021-2022
Brentford,56,2021-2022
Aston Villa,54,2021-2022
Leeds,78,2022-2023
Southampton,73,2022-2023
Bournemouth,71,2022-2023
Nott'm Forest,68,2022-2023
Leicester,68,2022-2023
Tottenham,63,2022-2023
Wolves,58,2022-2023
Everton,57,2022-2023
West Ham,55,2022-2023
Brighton,53,2022-2023
Sheffield United,104,2023-2024
Luton,85,2023-2024
Burnley,78,2023-2024
West Ham,74,2023-2024
Nott'm Forest,67,2023-2024
Bournemouth,67,2023-2024
Brentford,65,2023-2024
Wolves,65,2023-2024
Chelsea,63,2023-2024
Brighton,62,2023-2024
Southampton,86,2024-2025
Ipswich,82,2024-2025
Leicester,80,2024-2025
Wolves,69,2024-2025
Tottenham,65,2024-2025
West Ham,62,2024-2025
Brighton,59,2024-2025
Brentford,57,2024-2025
Man United,54,2024-2025
Fulham,54,2024-2025
